Study_ID,response_var,Effect_size_pair,Climate,Biome,Time_Since_Fire,Effect_size,Percent_Difference
Coombs & Melack; 2013,NO3_Interp,lnR1,BSk,Arid,1,1.75295228052377,477.1616980550105
Coombs & Melack; 2013,NO3_Interp,lnR2,BSk,Arid,1,-2.0473966314124756,-87.09295153770486
Coombs & Melack; 2013,NO3_Interp,lnR3,BSk,Arid,1,-0.2030079720285851,-18.37282659419256
Coombs & Melack; 2013,NO3_Interp,lnR1,BSk,Arid,2,1.702459542946486,448.74273709224053
Coombs & Melack; 2013,NO3_Interp,lnR2,BSk,Arid,2,-1.8565999926447945,-84.37971807314173
Coombs & Melack; 2013,NO3_Interp,lnR3,BSk,Arid,2,0.17335251790747283,18.928527555386943
Gerla & Galloway; 1998,NO3_Interp,lnR1,Dfc,Cold,2,-0.9404498708553406,-60.95478571974482
Gerla & Galloway; 1998,NO3_Interp,lnR1,Dfc,Cold,3,0.8469826044301482,133.25978520387253
Gerla & Galloway; 1998,NO3_Interp,lnR1,Dfc,Cold,4,0.9767219657876395,165.5736363049975
Gerla & Galloway; 1998,NO3_Interp,lnR1,Dfc,Cold,5,1.3512432699490873,286.2224334426232
Gerla & Galloway; 1998,NO3_Interp,lnR1,Dfc,Cold,6,0.8936477010811649,144.40284966484504
Gluns & Toews; 1989,NO3_Interp,lnR1,Dfc,Cold,1,2.1175380180518832,731.0651605869023
Gluns & Toews; 1989,NO3_Interp,lnR2,Dfc,Cold,1,1.5124370882941682,353.7776290902178
Gluns & Toews; 1989,NO3_Interp,lnR1,Dfc,Cold,2,2.043287391906721,671.593284688897
Gluns & Toews; 1989,NO3_Interp,lnR2,Dfc,Cold,2,1.7902711083086134,499.10764768422115
Gluns & Toews; 1989,NO3_Interp,lnR1,Dfc,Cold,3,2.4793176404333854,1093.3118961217292
Gluns & Toews; 1989,NO3_Interp,lnR2,Dfc,Cold,3,2.175364252047078,780.5391920143027
Gluns & Toews; 1989,NO3_Interp,lnR1,Dfc,Cold,4,1.8413502470540644,530.5045885669399
Gluns & Toews; 1989,NO3_Interp,lnR2,Dfc,Cold,4,1.8853069011924857,558.8376112258092
Mast & Clow; 2008,NO3_Interp,lnR1,Dfc,Cold,2,0.9217624797354467,151.37168630376397
Mast & Clow; 2008,NO3_Interp,lnR1,Dfc,Cold,3,0.6938414248359014,100.13889706385824
Mast & Clow; 2008,NO3_Interp,lnR1,Dfc,Cold,4,0.6238798035979927,86.61543267699349
Mast & Clow; 2008,NO3_Interp,lnR1,Dfc,Cold,5,0.4513944740791651,57.050068172687276
Murphy et al. 2015,NO3_Interp,lnR1,Cfb,Temperate,2,1.2334337255408905,243.2997291588365
Murphy et al. 2015,NO3_Interp,lnR2,Cfb,Temperate,2,0.8906940242456102,143.68202769087986
Murphy et al. 2015,NO3_Interp,lnR3,Cfb,Temperate,2,-0.05699676485766621,-5.540287473227146
Murphy et al. 2015,NO3_Interp,lnR1,Cfb,Temperate,3,0.2945684815767112,34.25468999502505
Murphy et al. 2015,NO3_Interp,lnR2,Cfb,Temperate,3,1.6229567188536114,406.8052993285494
Murphy et al. 2015,NO3_Interp,lnR3,Cfb,Temperate,3,2.1167271828264864,730.3915767997335
Murphy et al. 2015,NO3_Interp,lnR1,Cfb,Temperate,4,1.1134630802037473,204.48848373603403
Murphy et al. 2015,NO3_Interp,lnR2,Cfb,Temperate,4,2.138023384509159,748.2654101559932
Murphy et al. 2015,NO3_Interp,lnR3,Cfb,Temperate,4,1.1987594531267192,231.60007157708492
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,1,-0.9251679798500448,-60.35351846191255
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,1,-0.5401482686656407,-41.73381445266594
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,2,0.34874637041195555,41.72896781552393
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,2,0.4924902954548207,63.6386235285729
Murphy et al. 2018,NO3_Interp,lnR3,Cfb,Temperate,2,-0.5324776921953114,-41.285160704159765
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,3,0.48967192003296156,63.17807775425071
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,3,1.0609399607508578,188.90853402021057
Murphy et al. 2018,NO3_Interp,lnR3,Cfb,Temperate,3,0.6606550881027107,93.60602090809817
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,4,0.5260874760635659,69.22981818474396
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,4,0.9631628551436823,161.99699680832958
Murphy et al. 2018,NO3_Interp,lnR3,Cfb,Temperate,4,0.5319120776509874,70.2183906779823
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,5,0.10679525211943049,11.270640687596067
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,5,0.3707771777527453,44.88601991306687
Murphy et al. 2018,NO3_Interp,lnR3,Cfb,Temperate,5,-0.045053576764258266,-4.405373604655938
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,6,0.27085562181965056,31.108576454213367
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,6,0.5277273450124165,69.5075605771259
Murphy et al. 2018,NO3_Interp,lnR3,Cfb,Temperate,6,0.13000465508024311,13.883368467446843
Neary & Currier; 1982,NO3_Interp,lnR1,Cfa,Temperate,1,1.5739271177981005,382.5561580688095
Neary & Currier; 1982,NO3_Interp,lnR1,Cfa,Temperate,2,0.7765290563903371,117.3913623676905
Oliver et al. 2012,NO3_Interp,lnR1,Csb,Temperate,2,0.7146311795090584,104.34328833396185
Oliver et al. 2012,NO3_Interp,lnR2,Csb,Temperate,2,0.1083671999910158,11.445689882453669
Oliver et al. 2012,NO3_Interp,lnR3,Csb,Temperate,2,-1.2564969709571707,-71.53505827838787
Oliver et al. 2012,NO3_Interp,lnR1,Csb,Temperate,3,-0.5396214946346434,-41.703113253647096
Oliver et al. 2012,NO3_Interp,lnR2,Csb,Temperate,3,-1.76671099295381,-82.91058624689771
Oliver et al. 2012,NO3_Interp,lnR3,Csb,Temperate,3,-2.169919002561115,-88.58131346200696
Rhea et al. 2021,NO3_Interp,lnR1,Dfc,Cold,15,3.3673554612544394,2800.1729358332395
Tiedemann; 1973,NO3_Interp,lnR1,Dsb,Cold,1,0.700384479651557,101.45271032699408
Tiedemann; 1973,NO3_Interp,lnR1,Dsb,Cold,2,2.032749426158762,663.5049532132819
Tiedemann; 1973,NO3_Interp,lnR1,Dsb,Cold,3,3.4497656138466612,3049.300991816489
Uzun et al. 2020,NO3_Interp,lnR1,Csa,Temperate,2,-2.343905190475006,-90.40478059770899
Uzun et al. 2020,NO3_Interp,lnR2,Csa,Temperate,2,-1.4038784576475674,-75.4357599625297
Uzun et al. 2020,NO3_Interp,lnR1,Csa,Temperate,3,-2.523624055603431,-91.98314556075128
Uzun et al. 2020,NO3_Interp,lnR2,Csa,Temperate,3,-1.9038360329879964,-85.10040318781951
Writer et al. 2014,NO3_Interp,lnR1,Dfb,Cold,1,-0.22445633786858216,-20.104954018164634
Writer et al. 2014,NO3_Interp,lnR2,Dfb,Cold,1,-0.1726924417168119,-15.860364652806581
Writer et al. 2014,NO3_Interp,lnR1,Dfb,Cold,2,-0.73752899074672,-52.17056737765815
Writer et al. 2014,NO3_Interp,lnR2,Dfb,Cold,2,0.6342845717183738,88.56725952600047
Hauer & Spencer 1998,NO3_Interp,lnR1,Dfc,Cold,2,1.911426272610421,576.2727416134569
Hauer & Spencer 1998,NO3_Interp,lnR2,Dfc,Cold,2,1.872308461156119,550.329168084721
Hauer & Spencer 1998,NO3_Interp,lnR3,Dfc,Cold,2,2.332128722301076,929.9843719960119
Hauer & Spencer 1998,NO3_Interp,lnR5,Dfc,Cold,2,2.4314632577693227,1037.5515218772807
Hauer & Spencer 1998,NO3_Interp,lnR1,Dfc,Cold,3,0.9052735213660049,147.2608141729649
Hauer & Spencer 1998,NO3_Interp,lnR2,Dfc,Cold,3,1.7931305712867058,500.8232254692918
Hauer & Spencer 1998,NO3_Interp,lnR3,Dfc,Cold,3,2.2632756340805606,861.4531328630623
Hauer & Spencer 1998,NO3_Interp,lnR5,Dfc,Cold,3,2.1956752619491127,798.6066957641544
Hauer & Spencer 1998,NO3_Interp,lnR1,Dfc,Cold,4,0.5730656823751883,77.36963145138071
Hauer & Spencer 1998,NO3_Interp,lnR2,Dfc,Cold,4,2.123237518978183,735.8153412100588
Hauer & Spencer 1998,NO3_Interp,lnR3,Dfc,Cold,4,1.1968588798283117,230.97043985544303
Hauer & Spencer 1998,NO3_Interp,lnR4,Dfc,Cold,4,1.2844252245417789,261.2590931754834
Hauer & Spencer 1998,NO3_Interp,lnR5,Dfc,Cold,4,1.4865638267876355,342.1875055291434
Hauer & Spencer 1998,NO3_Interp,lnR1,Dfc,Cold,5,0.6206869330306183,86.02054396129573
Hauer & Spencer 1998,NO3_Interp,lnR2,Dfc,Cold,5,2.355939128240543,954.8030164680885
Hauer & Spencer 1998,NO3_Interp,lnR3,Dfc,Cold,5,1.1440404080000321,213.94273415965128
Hauer & Spencer 1998,NO3_Interp,lnR4,Dfc,Cold,5,0.5376175802346618,71.19234796160178
Hauer & Spencer 1998,NO3_Interp,lnR1,Dfc,Cold,6,0.16719947859094442,18.19900234976217
Hauer & Spencer 1998,NO3_Interp,lnR2,Dfc,Cold,6,2.4331464456086973,1039.4678470807742
Hauer & Spencer 1998,NO3_Interp,lnR3,Dfc,Cold,6,1.464134057717891,332.3797459680318
Hauer & Spencer 1998,NO3_Interp,lnR4,Dfc,Cold,6,0.8274961058239492,128.75836957951446
Hickenbottom et al. 2023,NO3_Interp,lnR1,Csb,Temperate,1,0.5604775611436323,75.15087531225029
Hickenbottom et al. 2023,NO3_Interp,lnR1,Csb,Temperate,2,0.4248453259394459,52.935384999825175
Hickenbottom et al. 2023,NO3_Interp,lnR2,Csb,Temperate,2,-0.9198195703521421,-60.140904777798276
Crandall et al. 2021,NO3_Interp,lnR1,Csa,Temperate,1,1.28743921860061,262.3495684535134
Crandall et al. 2021,NO3_Interp,lnR2,Csa,Temperate,1,-4.246086967895374,-98.56798403374928
Crandall et al. 2021,NO3_Interp,lnR3,Csa,Temperate,1,0.3617241962673968,43.58028875505513
Crandall et al. 2021,NO3_Interp,lnR4,Csa,Temperate,1,-1.0139978491713204,-63.723420622981266
Abbott et al. 2021,NO3_Interp,lnR1,Dwc,Cold,10,0.2553866095914989,29.09606221661083
Abbott et al. 2021,NO3_Interp,lnR1,Dwc,Cold,10,0.3732247996318643,45.24108045510049
Rhea et al. 2021,NO3_Interp,lnR1,Dfc,Cold,15,2.159311553728295,766.5170100478266
Rhea et al. 2021,NO3_Interp,lnR2,Dfc,Cold,15,3.216774838319497,2394.7530474466757
Rhea et al. 2021,NO3_Interp,lnR3,Dfc,Cold,15,2.6558282600148906,1323.677292711765
