predictor,raw_fi,analyte,fi
climate,11.089454645894115,no3,0.561060741844259
totdasqkm,8.822494157557763,no3,0.44636596433429904
maxelevsmo,14.471661259503406,no3,0.7321803696615553
slope,5.309205593524836,no3,0.26861436599225674
burn_percentage,9.193927797233446,no3,0.4651583071569924
time_since_fire,19.765158776645187,no3,1
climate,0.1126693287758844,doc,0.3856838778225693
totdasqkm,0.11026340507701339,doc,0.37744804299504875
maxelevsmo,0.20310350919270026,doc,0.6952535341772529
slope,0.2770179548175755,doc,0.9482736801693631
burn_percentage,0.11433495284775291,doc,0.39138555686878695
time_since_fire,0.2921286972428674,doc,1
