"","Study_ID","Site","Sampling_Date","Latitude","Longitude","Area_watershed_km","Pair","Climate","Burn_Unburn","Time_Since_Fire","DOC_uM_C","NO3_uM_N","NO3_Interp","DOC_Interp"
"1","Abbott et al. 2021","BS.10",2017-07-30,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,1591.081286,0.0617,0.0617,1591.081286
"2","Abbott et al. 2021","BS.10",2017-07-31,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.062396875,1584.62870621875
"3","Abbott et al. 2021","BS.10",2017-08-01,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.06309375,1578.1761264375
"4","Abbott et al. 2021","BS.10",2017-08-02,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.063790625,1571.72354665625
"5","Abbott et al. 2021","BS.10",2017-08-03,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.0644875,1565.270966875
"6","Abbott et al. 2021","BS.10",2017-08-04,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.065184375,1558.81838709375
"7","Abbott et al. 2021","BS.10",2017-08-05,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.06588125,1552.3658073125
"8","Abbott et al. 2021","BS.10",2017-08-06,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.066578125,1545.91322753125
"9","Abbott et al. 2021","BS.10",2017-08-07,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.067275,1539.46064775
"10","Abbott et al. 2021","BS.10",2017-08-08,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.067971875,1533.00806796875
"11","Abbott et al. 2021","BS.10",2017-08-09,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.06866875,1526.5554881875
"12","Abbott et al. 2021","BS.10",2017-08-10,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.069365625,1520.10290840625
"13","Abbott et al. 2021","BS.10",2017-08-11,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.0700625,1513.650328625
"14","Abbott et al. 2021","BS.10",2017-08-12,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.070759375,1507.19774884375
"15","Abbott et al. 2021","BS.10",2017-08-13,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.07145625,1500.7451690625
"16","Abbott et al. 2021","BS.10",2017-08-14,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.072153125,1494.29258928125
"17","Abbott et al. 2021","BS.10",2017-08-15,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.07285,1487.8400095
"18","Abbott et al. 2021","BS.10",2017-08-16,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.073546875,1481.38742971875
"19","Abbott et al. 2021","BS.10",2017-08-17,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.07424375,1474.9348499375
"20","Abbott et al. 2021","BS.10",2017-08-18,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.074940625,1468.48227015625
"21","Abbott et al. 2021","BS.10",2017-08-19,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.0756375,1462.029690375
"22","Abbott et al. 2021","BS.10",2017-08-20,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.076334375,1455.57711059375
"23","Abbott et al. 2021","BS.10",2017-08-21,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.07703125,1449.1245308125
"24","Abbott et al. 2021","BS.10",2017-08-22,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.077728125,1442.67195103125
"25","Abbott et al. 2021","BS.10",2017-08-23,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.078425,1436.21937125
"26","Abbott et al. 2021","BS.10",2017-08-24,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.079121875,1429.76679146875
"27","Abbott et al. 2021","BS.10",2017-08-25,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.07981875,1423.3142116875
"28","Abbott et al. 2021","BS.10",2017-08-26,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.080515625,1416.86163190625
"29","Abbott et al. 2021","BS.10",2017-08-27,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.0812125,1410.409052125
"30","Abbott et al. 2021","BS.10",2017-08-28,68.932756,-150.7,16.01788092,"Site_1","Dwc","Burn",10,NA,NA,0.081909375,1403.95647234375
