"","Study_ID","Site","Sampling_Date","Latitude","Longitude","Area_watershed_km","Pair","Climate","Burn_Unburn","Time_Since_Fire","DOC_uM_C","NO3_uM_N","NO3_Interp","DOC_Interp"
"1","Rhea et al. 2021","B1",2017-06-15,NA,NA,3.25,"Site_1","Dfc","Burn",5,284.689229520837,0.525987366492688,0.525987366492688,284.689229520837
"2","Rhea et al. 2021","B1",2017-06-16,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.509128797142947,283.854363746215
"3","Rhea et al. 2021","B1",2017-06-17,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.492270227793205,283.019497971593
"4","Rhea et al. 2021","B1",2017-06-18,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.475411658443463,282.184632196971
"5","Rhea et al. 2021","B1",2017-06-19,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.458553089093721,281.349766422349
"6","Rhea et al. 2021","B1",2017-06-20,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.441694519743979,280.514900647727
"7","Rhea et al. 2021","B1",2017-06-21,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.424835950394238,279.680034873105
"8","Rhea et al. 2021","B1",2017-06-22,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.407977381044496,278.845169098482
"9","Rhea et al. 2021","B1",2017-06-23,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.391118811694754,278.01030332386
"10","Rhea et al. 2021","B1",2017-06-24,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.374260242345012,277.175437549238
"11","Rhea et al. 2021","B1",2017-06-25,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.35740167299527,276.340571774616
"12","Rhea et al. 2021","B1",2017-06-26,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.340543103645529,275.505705999994
"13","Rhea et al. 2021","B1",2017-06-27,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.323684534295787,274.670840225372
"14","Rhea et al. 2021","B1",2017-06-28,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.306825964946045,273.83597445075
"15","Rhea et al. 2021","B1",2017-06-29,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.289967395596303,273.001108676127
"16","Rhea et al. 2021","B1",2017-06-30,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.273108826246561,272.166242901505
"17","Rhea et al. 2021","B1",2017-07-01,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.25625025689682,271.331377126883
"18","Rhea et al. 2021","B1",2017-07-02,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.239391687547078,270.496511352261
"19","Rhea et al. 2021","B1",2017-07-03,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.222533118197336,269.661645577639
"20","Rhea et al. 2021","B1",2017-07-04,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.205674548847594,268.826779803017
"21","Rhea et al. 2021","B1",2017-07-05,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.188815979497853,267.991914028395
"22","Rhea et al. 2021","B1",2017-07-06,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.171957410148111,267.157048253772
"23","Rhea et al. 2021","B1",2017-07-07,NA,NA,3.25,"Site_1","Dfc","Burn",5,266.32218247915,0.155098840798369,0.155098840798369,266.32218247915
"24","Rhea et al. 2021","B1",2017-07-08,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.163528125307719,264.715065857799
"25","Rhea et al. 2021","B1",2017-07-09,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.17195740981707,263.107949236447
