Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Publication Stage,Open Access,Source,EID
Wildfire effects on water quality in forest catchments: A review with implications for water supply,"Smith, Hugh G.; Sheridan, Gary J.; Lane, Patrick N. J.; Nyman, Petter; Haydon, Shane",NA,NA,NA,JOURNAL OF HYDROLOGY,JAN 5 2011,2011,396,1-2,NA,NA,NA,170,192,NA,10.1016/j.jhydrol.2010.10.043,NA,NA,427,32.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate-induced changes in the dissolved organic carbon budgets of boreal lakes,"Schindler, DW; Curtis, PJ; Bayley, SE; Parker, BR; Beaty, KG; Stainton, MP",NA,NA,NA,BIOGEOCHEMISTRY,JAN 1997,1997,36,1,NA,NA,NA,9,28,NA,10.1023/A:1005792014547,NA,NA,244,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The long-term effects of disturbance on organic and inorganic nitrogen export in the White Mountains, New Hampshire","Goodale, CL; Aber, JD; McDowell, WH",NA,NA,NA,ECOSYSTEMS,SEP-OCT 2000,2000,3,5,NA,NA,NA,433,450,NA,10.1007/s100210000039,NA,NA,178,7.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comparative impacts of fire and forest harvesting on water quality in Boreal Shield lakes,"Carignan, R; D'Arcy, P; Lamontagne, S",NA,NA,NA,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2000,2000,57,NA,NA,2,NA,105,117,NA,10.1139/cjfas-57-S2-105,NA,NA,172,7.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The importance of the riparian zone and in-stream processes in nitrate attenuation in undisturbed and agricultural watersheds - A review of the scientific literature,"Ranalli, Anthony J.; Macalady, Donald L.",NA,NA,NA,JOURNAL OF HYDROLOGY,AUG 11 2010,2010,389,3-4,NA,NA,NA,406,415,NA,10.1016/j.jhydrol.2010.05.045,NA,NA,154,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NATURAL AND MAN-CAUSED FACTORS AFFECTING THE ABUNDANCE AND CYCLING OF DISSOLVED ORGANIC-SUBSTANCES IN PRECAMBRIAN SHIELD LAKES,"SCHINDLER, DW; BAYLEY, SE; CURTIS, PJ; PARKER, BR; STAINTON, MP; KELLY, CA",NA,NA,NA,HYDROBIOLOGIA,FEB 21 1992,1992,229,NA,NA,NA,NA,1,21,NA,10.1007/BF00006987,NA,NA,145,4.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFFECTS OF MULTIPLE FIRES ON NUTRIENT YIELDS FROM STREAMS DRAINING BOREAL FOREST AND FEN WATERSHEDS - NITROGEN AND PHOSPHORUS,"BAYLEY, SE; SCHINDLER, DW; BEATY, KG; PARKER, BR; STAINTON, MP",NA,NA,NA,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,MAR 1992,1992,49,3,NA,NA,NA,584,596,NA,10.1139/f92-068,NA,NA,129,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Effects of wildfire ash on water chemistry and biota in South-Western USA streams,"Earl, SR; Blinn, DW",NA,NA,NA,FRESHWATER BIOLOGY,JUN 2003,2003,48,6,NA,NA,NA,1015,1030,NA,10.1046/j.1365-2427.2003.01066.x,NA,NA,119,5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The influence of wildfire extent and severity on streamwater chemistry, sediment and temperature following the Hayman Fire, Colorado","Rhoades, Charles C.; Entwistle, Deborah; Butler, Dana",NA,NA,NA,INTERNATIONAL JOURNAL OF WILDLAND FIRE,2011,2011,20,3,NA,NA,NA,430,442,NA,10.1071/WF09086,NA,NA,113,8.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Storage and mobility of black carbon in permafrost soils of the forest tundra ecotone in Northern Siberia,"Guggenberger, Georg; Rodionov, Andrej; Shibistova, Olga; Grabe, Matthias; Kasansky, Oleg A.; Fuchs, Hans; Mikheyeva, Natalia; Zrazhevskaya, Galina; Flessa, Heiner",NA,NA,NA,GLOBAL CHANGE BIOLOGY,JUN 2008,2008,14,6,NA,NA,NA,1367,1381,NA,10.1111/j.1365-2486.2008.01568.x,NA,NA,106,6.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amino acid uptake in deciduous and coniferous taiga ecosystems,"Kielland, Knut; McFarland, Jack; Olson, Karl",NA,NA,NA,PLANT AND SOIL,OCT 2006,2006,288,1-2,NA,NA,NA,297,307,NA,10.1007/s11104-006-9117-0,NA,NA,88,4.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
