DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F-,Cl-,NO2-,Br-,NO3-,SO4-,PO4-,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,Ge74,As75,Se78,Sr88,Y89,Zr90,Nb93,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,FI,HIX,SUVA254,SUVA280,dD,d18O,Volume,SamplingNote
MST,,,,hr,,,pH,uS/cm,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,nm/nm,nm/nm,L/(mg.cm),L/(mg.cm),‰,‰,mL,
(Detection limit),,,,,,,,,0.07,0.07,0.04,0.39,0.47,0.97,0.42,0.45,0.5,0.51,0.026,0.052,0.049,0.072,0.04,0.327,0.315,1.729,0.29,0.115,0.055,0.109,0.014,0.014,0.015,0.022,0.031,0.022,0.069,0.021,0.765,0.017,0.861,0.007,0.051,0.048,0.014,0.041,0.009,0.012,0.023,0.355,0.628,0.224,0.684,2.735,0.699,0.881,0.216,1.896,0.28,0.58,0.103,1.332,0.308,0.003,0.006,0.849,,,0.004,0.004,0.4,0.1,,
(Lab Method),,,,,,,PH_EC2,PH_EC2,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,WIA_LGR,WIA_LGR,,
7/29/2019 17:00,RainColl_MCZOB,NM_P538,PrcpColl,720,Grab,Precipitation,6.07,-9999,2.48,2.35,2.31,0.2,10.05,1.5,0.21,3.19,8.06,17.08,0.04,11.92,75.66,99.78,6.85,253.68,654.78,705.04,693.06,2.37,0.2,0.13,91.15,146.11,0.07,0.14,0.66,6.7,0.15,0.11,12.26,4.53,8.61,0.03,0.18,0.07,0.02,0.01,0.01,0.12,10.23,13.59,22.85,1.7,12.16,8.7,2.04,1.1,2.2,4.4,2.9,2,0.8,5.8,3.91,0.06,0,6.2,-9999,-9999,0.017,0.009,-32.25,-5.87,500,Sampled by Adam Killebrew
8/9/2019 10:05,RainColl_Burn_Low_CC,NM_P539,PrcpColl,720,Grab,Precipitation,5.83,-9999,2.82,10.64,1.84,0.2,10.22,0.49,0.21,1.69,7.28,10.46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.127,0.101,-9999,-9999,500,Sampled by Adam Killebrew
8/9/2019 10:30,RainColl_Burn_Low_OC,NM_P540,PrcpColl,720,Grab,Precipitation,6.89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,50,Sampled by Adam Killebrew
8/12/2019 16:04,RainColl_MCZOB,NM_P541,PrcpColl,335.1,Grab,Precipitation,6.17,-9999,3.36,2.19,2.1,0.2,15.11,2.08,0.21,14.47,11.16,8.22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.018,0.013,-9999,-9999,500,Sampled by Adam Killebrew
8/12/2019 16:10,RainColl_MCZOB_CC,NM_P542,PrcpColl,720,Grab,Precipitation,6.67,-9999,20.16,17.27,18.48,0.2,83.68,0.49,0.21,2.25,35.73,90.69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1,0.081,-9999,-9999,500,Sampled by Adam Killebrew
8/16/2019 10:40,RainColl_Burn_Low_CC,NM_P543,PrcpColl,168.6,Grab,Precipitation,7.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,50,Sampled by Adam Killebrew
8/16/2019 11:00,RainColl_Burn_Low_OC,NM_P544,PrcpColl,168.5,Grab,Precipitation,6.9,-9999,17.97,8.3,25.65,0.2,40.92,32.5,0.21,6.9,63.23,105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.157,0.123,-9999,-9999,200,Sampled by Adam Killebrew
