Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
"Gluns & Toews, 1989",pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,8/12/85,Burn,0,Individual,,,,,0.022316721,mg_N_L,,,"Figure_3, Hampton et al. 2022_Extracted",These are concentration differences between upstream and downstream sites on the same river for each siteI had to get access to this paper from the PNNL resource library. This paper also includes a time series of Q but I would have to extract it or find the USGS gauge. 
"Gluns & Toews, 1989",pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,9/8/85,Burn,0,Individual,,,,,0.106712103,mg_N_L,,,"Figure_3, Hampton et al. 2022_Extracted",
"Gluns & Toews, 1989",pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,10/6/85,Burn,0,Individual,,,,,0.06081124,mg_N_L,,,"Figure_3, Hampton et al. 2022_Extracted",
"Gluns & Toews, 1989",pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,11/5/85,Burn,0,Individual,,,,,0.128310957,mg_N_L,,,"Figure_3, Hampton et al. 2022_Extracted",
"Gluns & Toews, 1989",pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,12/18/85,Burn,0,Individual,,,,,0.096857084,mg_N_L,,,"Figure_3, Hampton et al. 2022_Extracted",
"Gluns & Toews, 1989",pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,1/26/86,Burn,1,Individual,,,,,0.082298876,mg_N_L,,,"Figure_3, Hampton et al. 2022_Extracted",
"Gluns & Toews, 1989",pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,3/8/86,Burn,1,Individual,,,,,0.135298822,mg_N_L,,,"Figure_3, Hampton et al. 2022_Extracted",
"Gluns & Toews, 1989",pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,4/6/86,Burn,1,Individual,,,,,0.195561848,mg_N_L,,,"Figure_3, Hampton et al. 2022_Extracted",
"Gluns & Toews, 1989",pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,5/6/86,Burn,1,Individual,,,,,0.147244356,mg_N_L,,,"Figure_3, Hampton et al. 2022_Extracted",
"Gluns & Toews, 1989",pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,5/17/86,Burn,1,Individual,,,,,0.086900273,mg_N_L,,,"Figure_3, Hampton et al. 2022_Extracted",
