agency_cd,site_no,Date,X_00060_00003,X_00060_00003_cd
USGS,01137500,1997-09-01,76,A
USGS,01137500,1997-09-02,71,A
USGS,01137500,1997-09-03,82,A
USGS,01137500,1997-09-04,85,A
USGS,01137500,1997-09-05,76,A
USGS,01137500,1997-09-06,64,A
USGS,01137500,1997-09-07,60,A
USGS,01137500,1997-09-08,73,A
USGS,01137500,1997-09-09,63,A
USGS,01137500,1997-09-10,57,A
USGS,01137500,1997-09-11,55,A
USGS,01137500,1997-09-12,74,A
USGS,01137500,1997-09-13,71,A
USGS,01137500,1997-09-14,62,A
USGS,01137500,1997-09-15,56,A
USGS,01137500,1997-09-16,54,A
USGS,01137500,1997-09-17,51,A
USGS,01137500,1997-09-18,50,A
USGS,01137500,1997-09-19,50,A
USGS,01137500,1997-09-20,54,A
USGS,01137500,1997-09-21,67,A
USGS,01137500,1997-09-22,60,A
USGS,01137500,1997-09-23,56,A
USGS,01137500,1997-09-24,78,A
USGS,01137500,1997-09-25,66,A
USGS,01137500,1997-09-26,59,A
USGS,01137500,1997-09-27,57,A
USGS,01137500,1997-09-28,54,A
USGS,01137500,1997-09-29,59,A
USGS,01137500,1997-09-30,116,A
USGS,01137500,1997-10-01,90,A
USGS,01137500,1997-10-02,86,A
USGS,01137500,1997-10-03,77,A
USGS,01137500,1997-10-04,75,A
USGS,01137500,1997-10-05,96,A
USGS,01137500,1997-10-06,102,A
USGS,01137500,1997-10-07,82,A
USGS,01137500,1997-10-08,74,A
USGS,01137500,1997-10-09,71,A
USGS,01137500,1997-10-10,70,A
USGS,01137500,1997-10-11,66,A
USGS,01137500,1997-10-12,64,A
USGS,01137500,1997-10-13,64,A
USGS,01137500,1997-10-14,59,A
USGS,01137500,1997-10-15,60,A
USGS,01137500,1997-10-16,61,A
USGS,01137500,1997-10-17,62,A
USGS,01137500,1997-10-18,60,A
USGS,01137500,1997-10-19,58,A
USGS,01137500,1997-10-20,57,A
USGS,01137500,1997-10-21,57,A
USGS,01137500,1997-10-22,57,A
USGS,01137500,1997-10-23,53,A
USGS,01137500,1997-10-24,53,A
USGS,01137500,1997-10-25,54,A
USGS,01137500,1997-10-26,54,A
USGS,01137500,1997-10-27,58,A
USGS,01137500,1997-10-28,92,A
USGS,01137500,1997-10-29,76,A
USGS,01137500,1997-10-30,68,A
USGS,01137500,1997-10-31,71,A
USGS,01137500,1997-11-01,96,A
USGS,01137500,1997-11-02,1130,A
USGS,01137500,1997-11-03,1060,A
USGS,01137500,1997-11-04,353,A
USGS,01137500,1997-11-05,518,A
USGS,01137500,1997-11-06,291,A
USGS,01137500,1997-11-07,216,A
USGS,01137500,1997-11-08,177,A
USGS,01137500,1997-11-09,180,A
USGS,01137500,1997-11-10,473,A
USGS,01137500,1997-11-11,286,A
USGS,01137500,1997-11-12,208,A
USGS,01137500,1997-11-13,171,A
USGS,01137500,1997-11-14,141,A
USGS,01137500,1997-11-15,144,A
USGS,01137500,1997-11-16,130,A
USGS,01137500,1997-11-17,116,A
USGS,01137500,1997-11-18,108,A
USGS,01137500,1997-11-19,102,A
USGS,01137500,1997-11-20,98,A
USGS,01137500,1997-11-21,97,A
USGS,01137500,1997-11-22,105,A
USGS,01137500,1997-11-23,96,A
USGS,01137500,1997-11-24,92,A
USGS,01137500,1997-11-25,79,A
USGS,01137500,1997-11-26,89,A
USGS,01137500,1997-11-27,129,A
USGS,01137500,1997-11-28,94,A
USGS,01137500,1997-11-29,93,A
USGS,01137500,1997-11-30,85,A
USGS,01137500,1997-12-01,84,A
USGS,01137500,1997-12-02,72,A
USGS,01137500,1997-12-03,76,A
USGS,01137500,1997-12-04,78,A
USGS,01137500,1997-12-05,81,A
USGS,01137500,1997-12-06,78,A
USGS,01137500,1997-12-07,75,A
USGS,01137500,1997-12-08,72,A e
USGS,01137500,1997-12-09,58,A e
USGS,01137500,1997-12-10,62,A e
USGS,01137500,1997-12-11,62,A e
USGS,01137500,1997-12-12,63,A e
USGS,01137500,1997-12-13,62,A e
USGS,01137500,1997-12-14,61,A e
USGS,01137500,1997-12-15,54,A e
USGS,01137500,1997-12-16,60,A e
USGS,01137500,1997-12-17,65,A
USGS,01137500,1997-12-18,61,A
USGS,01137500,1997-12-19,61,A
USGS,01137500,1997-12-20,61,A
USGS,01137500,1997-12-21,52,A
USGS,01137500,1997-12-22,47,A
USGS,01137500,1997-12-23,48,A e
USGS,01137500,1997-12-24,52,A e
USGS,01137500,1997-12-25,61,A
USGS,01137500,1997-12-26,63,A
USGS,01137500,1997-12-27,61,A
USGS,01137500,1997-12-28,55,A
USGS,01137500,1997-12-29,48,A
USGS,01137500,1997-12-30,58,A
USGS,01137500,1997-12-31,54,A
USGS,01137500,1998-01-01,44,A
USGS,01137500,1998-01-02,49,A e
USGS,01137500,1998-01-03,56,A
USGS,01137500,1998-01-04,114,A
USGS,01137500,1998-01-05,120,A
USGS,01137500,1998-01-06,163,A
USGS,01137500,1998-01-07,366,A e
USGS,01137500,1998-01-08,1190,A e
USGS,01137500,1998-01-09,1080,A
USGS,01137500,1998-01-10,516,A
USGS,01137500,1998-01-11,334,A
USGS,01137500,1998-01-12,218,A
USGS,01137500,1998-01-13,223,A
USGS,01137500,1998-01-14,164,A
USGS,01137500,1998-01-15,135,A
USGS,01137500,1998-01-16,171,A
USGS,01137500,1998-01-17,152,A
USGS,01137500,1998-01-18,140,A
USGS,01137500,1998-01-19,141,A
USGS,01137500,1998-01-20,131,A
USGS,01137500,1998-01-21,118,A
USGS,01137500,1998-01-22,100,A e
USGS,01137500,1998-01-23,90,A
USGS,01137500,1998-01-24,113,A e
USGS,01137500,1998-01-25,115,A e
USGS,01137500,1998-01-26,106,A e
USGS,01137500,1998-01-27,98,A e
