Site,SampleDate,Conc,Units,DateTime
Pinchot Creek,12/16/2003,0.391304348,mg/L,2003-12-16
Coal Creek,12/17/2003,0.723913043,mg/L,2003-12-17
Pinchot Creek,1/5/2004,0.065737052,mg NO3/L,2004-01-05
Coal Creek,1/10/2004,0.328685259,mg NO3/L,2004-01-10
Pinchot Creek,03/08/2004,0.906521739,mg/L,2004-03-08
Pinchot Creek,03/11/2004,1.010869565,mg/L,2004-03-11
Pinchot Creek,03/15/2004,1.513043478,mg/L,2004-03-15
Coal Creek,03/16/2004,2.308695652,mg/L,2004-03-16
Pinchot Creek,03/21/2004,1.310869565,mg/L,2004-03-21
Coal Creek,03/22/2004,1.715217391,mg/L,2004-03-22
Pinchot Creek,03/27/2004,2.008695652,mg/L,2004-03-27
Coal Creek,03/29/2004,1.904347826,mg/L,2004-03-29
Coal Creek,3/30/2004,0.729083665,mg NO3/L,2004-03-30
Pinchot Creek,3/30/2004,0.09561753,mg NO3/L,2004-03-30
Pinchot Creek,3/30/2004,0.071713147,mg NO3/L,2004-03-30
Coal Creek,04/01/2004,1.734782609,mg/L,2004-04-01
Pinchot Creek,04/01/2004,1.310869565,mg/L,2004-04-01
Coal Creek,04/03/2004,2.210869565,mg/L,2004-04-03
Pinchot Creek,4/4/2004,0.077689243,mg NO3/L,2004-04-04
Coal Creek,4/5/2004,0.702191235,mg NO3/L,2004-04-05
Pinchot Creek,04/06/2004,1.258695652,mg/L,2004-04-06
Coal Creek,4/7/2004,0.800796813,mg NO3/L,2004-04-07
Coal Creek,04/07/2004,1.897826087,mg/L,2004-04-07
Pinchot Creek,04/09/2004,1.441304348,mg/L,2004-04-09
Pinchot Creek,4/10/2004,0.071713147,mg NO3/L,2004-04-10
Coal Creek,4/11/2004,0.833665339,mg NO3/L,2004-04-11
Pinchot Creek,04/12/2004,1.310869565,mg/L,2004-04-12
Pinchot Creek,4/13/2004,0.119521912,mg NO3/L,2004-04-13
Coal Creek,04/13/2004,1.87826087,mg/L,2004-04-13
Pinchot Creek,04/15/2004,0.965217391,mg/L,2004-04-15
Coal Creek,04/16/2004,1.695652174,mg/L,2004-04-16
Coal Creek,4/17/2004,0.797808765,mg NO3/L,2004-04-17
Pinchot Creek,4/17/2004,0.119521912,mg NO3/L,2004-04-17
Pinchot Creek,04/17/2004,0.958695652,mg/L,2004-04-17
Coal Creek,04/18/2004,1.565217391,mg/L,2004-04-18
Pinchot Creek,4/21/2004,0.065737052,mg NO3/L,2004-04-21
Coal Creek,4/23/2004,0.720119522,mg NO3/L,2004-04-23
Coal Creek,04/24/2004,1.773913043,mg/L,2004-04-24
Pinchot Creek,04/25/2004,1.636956522,mg/L,2004-04-25
Coal Creek,4/26/2004,0.747011952,mg NO3/L,2004-04-26
Pinchot Creek,4/26/2004,0.09561753,mg NO3/L,2004-04-26
Pinchot Creek,4/27/2004,0.110557769,mg NO3/L,2004-04-27
Pinchot Creek,4/29/2004,0.155378486,mg NO3/L,2004-04-29
Pinchot Creek,04/29/2004,3.515217391,mg/L,2004-04-29
Coal Creek,4/30/2004,0.669322709,mg NO3/L,2004-04-30
Coal Creek,04/30/2004,1.610869565,mg/L,2004-04-30
Pinchot Creek,5/2/2004,0.143426295,mg NO3/L,2004-05-02
Coal Creek,5/3/2004,0.585657371,mg NO3/L,2004-05-03
Pinchot Creek,5/3/2004,0.134462151,mg NO3/L,2004-05-03
Pinchot Creek,05/04/2004,1.245652174,mg/L,2004-05-04
Coal Creek,5/7/2004,0.507968127,mg NO3/L,2004-05-07
Coal Creek,5/7/2004,0.499003984,mg NO3/L,2004-05-07
Pinchot Creek,5/7/2004,0.116533865,mg NO3/L,2004-05-07
Coal Creek,05/10/2004,1.180434783,mg/L,2004-05-10
Pinchot Creek,05/10/2004,0.710869565,mg/L,2004-05-10
Pinchot Creek,5/13/2004,0.221115538,mg NO3/L,2004-05-13
Coal Creek,5/15/2004,0.427290837,mg NO3/L,2004-05-15
Pinchot Creek,05/16/2004,1.017391304,mg/L,2004-05-16
Coal Creek,05/17/2004,1.095652174,mg/L,2004-05-17
Pinchot Creek,5/21/2004,0.242031873,mg NO3/L,2004-05-21
Coal Creek,5/22/2004,0.34063745,mg NO3/L,2004-05-22
Pinchot Creek,05/22/2004,0.645652174,mg/L,2004-05-22
Coal Creek,05/23/2004,1.330434783,mg/L,2004-05-23
Pinchot Creek,5/27/2004,0.167330677,mg NO3/L,2004-05-27
Pinchot Creek,05/28/2004,0.763043478,mg/L,2004-05-28
Coal Creek,5/29/2004,0.334661355,mg NO3/L,2004-05-29
Pinchot Creek,5/29/2004,0.119521912,mg NO3/L,2004-05-29
Coal Creek,05/29/2004,1.27173913,mg/L,2004-05-29
Pinchot Creek,06/01/2004,0.789130435,mg/L,2004-06-01
Coal Creek,06/03/2004,1.343478261,mg/L,2004-06-03
Coal Creek,6/6/2004,0.268924303,mg NO3/L,2004-06-06
Pinchot Creek,6/6/2004,0.143426295,mg NO3/L,2004-06-06
Pinchot Creek,06/06/2004,0.626086957,mg/L,2004-06-06
Coal Creek,06/07/2004,1.023913043,mg/L,2004-06-07
Coal Creek,6/10/2004,0.271912351,mg NO3/L,2004-06-10
Pinchot Creek,06/11/2004,0.82826087,mg/L,2004-06-11
Coal Creek,06/12/2004,1.115217391,mg/L,2004-06-12
Pinchot Creek,6/13/2004,0.110557769,mg NO3/L,2004-06-13
Pinchot Creek,06/14/2004,0.704347826,mg/L,2004-06-14
Coal Creek,6/16/2004,0.256972112,mg NO3/L,2004-06-16
Coal Creek,06/17/2004,0.997826087,mg/L,2004-06-17
Pinchot Creek,6/20/2004,0.104581673,mg NO3/L,2004-06-20
Coal Creek,06/21/2004,1.12826087,mg/L,2004-06-21
Pinchot Creek,06/21/2004,0.645652174,mg/L,2004-06-21
Pinchot Creek,6/22/2004,0.134462151,mg NO3/L,2004-06-22
Coal Creek,6/23/2004,0.170318725,mg NO3/L,2004-06-23
Pinchot Creek,6/28/2004,0.107569721,mg NO3/L,2004-06-28
Pinchot Creek,6/28/2004,0.092629482,mg NO3/L,2004-06-28
Coal Creek,06/28/2004,0.847826087,mg/L,2004-06-28
Pinchot Creek,06/29/2004,0.567391304,mg/L,2004-06-29
Coal Creek,7/1/2004,0.253984064,mg NO3/L,2004-07-01
Coal Creek,07/04/2004,1.226086957,mg/L,2004-07-04
Pinchot Creek,07/05/2004,0.573913043,mg/L,2004-07-05
Pinchot Creek,7/7/2004,0.080677291,mg NO3/L,2004-07-07
Pinchot Creek,07/08/2004,0.567391304,mg/L,2004-07-08
Coal Creek,7/9/2004,0.24501992,mg NO3/L,2004-07-09
Coal Creek,07/09/2004,0.919565217,mg/L,2004-07-09
Pinchot Creek,7/11/2004,0.077689243,mg NO3/L,2004-07-11
Coal Creek,7/12/2004,0.155378486,mg NO3/L,2004-07-12
Coal Creek,07/12/2004,0.834782609,mg/L,2004-07-12
Pinchot Creek,07/12/2004,0.430434783,mg/L,2004-07-12
Pinchot Creek,7/14/2004,0.053784861,mg NO3/L,2004-07-14
Pinchot Creek,07/16/2004,0.469565217,mg/L,2004-07-16
Coal Creek,07/19/2004,0.854347826,mg/L,2004-07-19
Pinchot Creek,7/20/2004,0.053784861,mg NO3/L,2004-07-20
Coal Creek,7/21/2004,0.125498008,mg NO3/L,2004-07-21
Pinchot Creek,07/22/2004,0.515217391,mg/L,2004-07-22
Coal Creek,7/24/2004,0.164342629,mg NO3/L,2004-07-24
Pinchot Creek,7/26/2004,0.050796813,mg NO3/L,2004-07-26
Coal Creek,07/27/2004,0.834782609,mg/L,2004-07-27
Pinchot Creek,07/27/2004,0.463043478,mg/L,2004-07-27
Coal Creek,07/28/2004,0.873913043,mg/L,2004-07-28
Pinchot Creek,07/28/2004,0.384782609,mg/L,2004-07-28
Coal Creek,7/30/2004,0.239043825,mg NO3/L,2004-07-30
Coal Creek,8/2/2004,0.179282869,mg NO3/L,2004-08-02
Pinchot Creek,8/2/2004,0.041832669,mg NO3/L,2004-08-02
Pinchot Creek,08/02/2004,0.619565217,mg/L,2004-08-02
Coal Creek,08/04/2004,0.873913043,mg/L,2004-08-04
Pinchot Creek,8/6/2004,0.035856574,mg NO3/L,2004-08-06
Pinchot Creek,8/11/2004,0.02689243,mg NO3/L,2004-08-11
Coal Creek,8/12/2004,0.176294821,mg NO3/L,2004-08-12
Pinchot Creek,8/18/2004,0.023904382,mg NO3/L,2004-08-18
Coal Creek,8/21/2004,0.164342629,mg NO3/L,2004-08-21
