agency_cd,site_no,Date,X_00060_00003,X_00060_00003_cd
USGS,06727500,2011-04-01,1.3,A
USGS,06727500,2011-04-02,1.44,A
USGS,06727500,2011-04-03,1.94,A
USGS,06727500,2011-04-04,2.04,A
USGS,06727500,2011-04-05,2.07,A
USGS,06727500,2011-04-06,2.09,A
USGS,06727500,2011-04-07,2.05,A
USGS,06727500,2011-04-08,1.99,A
USGS,06727500,2011-04-09,2,A
USGS,06727500,2011-04-10,2.27,A
USGS,06727500,2011-04-11,2.19,A
USGS,06727500,2011-04-12,2.42,A
USGS,06727500,2011-04-13,2.73,A
USGS,06727500,2011-04-14,3.78,A
USGS,06727500,2011-04-15,2.55,A
USGS,06727500,2011-04-16,1.9,A
USGS,06727500,2011-04-17,1.72,A
USGS,06727500,2011-04-18,1.74,A
USGS,06727500,2011-04-19,4.17,A
USGS,06727500,2011-04-20,4.75,A
USGS,06727500,2011-04-21,5.57,A
USGS,06727500,2011-04-22,5.77,A
USGS,06727500,2011-04-23,5.65,A
USGS,06727500,2011-04-24,5.84,A
USGS,06727500,2011-04-25,5.81,A
USGS,06727500,2011-04-26,5.67,A
USGS,06727500,2011-04-27,5.41,A
USGS,06727500,2011-04-28,5.21,A
USGS,06727500,2011-04-29,5.3,A
USGS,06727500,2011-04-30,4.99,A
USGS,06727500,2011-05-01,4.82,A
USGS,06727500,2011-05-02,4.63,A
USGS,06727500,2011-05-03,4.19,A
USGS,06727500,2011-05-04,3.7,A
USGS,06727500,2011-05-05,3.34,A
USGS,06727500,2011-05-06,3.23,A
USGS,06727500,2011-05-07,3.31,A
USGS,06727500,2011-05-08,3.91,A
USGS,06727500,2011-05-09,5.24,A
USGS,06727500,2011-05-10,6.86,A
USGS,06727500,2011-05-11,11.2,A
USGS,06727500,2011-05-12,12.2,A
USGS,06727500,2011-05-13,9.54,A
USGS,06727500,2011-05-14,10.2,A
USGS,06727500,2011-05-15,10.6,A
USGS,06727500,2011-05-16,10.7,A
USGS,06727500,2011-05-17,10.6,A
USGS,06727500,2011-05-18,13.7,A
USGS,06727500,2011-05-19,23.3,A
USGS,06727500,2011-05-20,28,A
USGS,06727500,2011-05-21,29.8,A
USGS,06727500,2011-05-22,32.7,A
USGS,06727500,2011-05-23,35.1,A
USGS,06727500,2011-05-24,36.2,A
USGS,06727500,2011-05-25,32.1,A
USGS,06727500,2011-05-26,27.3,A
USGS,06727500,2011-05-27,25.8,A
USGS,06727500,2011-05-28,25.5,A
USGS,06727500,2011-05-29,24.4,A
USGS,06727500,2011-05-30,24.2,A
USGS,06727500,2011-05-31,22.7,A
USGS,06727500,2011-06-01,21.6,A
USGS,06727500,2011-06-02,21.7,A
USGS,06727500,2011-06-03,23.9,A
USGS,06727500,2011-06-04,24.5,A
USGS,06727500,2011-06-05,25.3,A
USGS,06727500,2011-06-06,25.8,A
USGS,06727500,2011-06-07,27.3,A
USGS,06727500,2011-06-08,27,A
USGS,06727500,2011-06-09,26.2,A
USGS,06727500,2011-06-10,25.1,A
USGS,06727500,2011-06-11,23.3,A
USGS,06727500,2011-06-12,21.8,A
USGS,06727500,2011-06-13,20.6,A
USGS,06727500,2011-06-14,19.3,A
USGS,06727500,2011-06-15,18.8,A
USGS,06727500,2011-06-16,18.5,A
USGS,06727500,2011-06-17,18.4,A
USGS,06727500,2011-06-18,18.3,A
USGS,06727500,2011-06-19,18.3,A
USGS,06727500,2011-06-20,23.6,A
USGS,06727500,2011-06-21,19.4,A
USGS,06727500,2011-06-22,18,A
USGS,06727500,2011-06-23,17.6,A
USGS,06727500,2011-06-24,17.2,A
USGS,06727500,2011-06-25,17.2,A
USGS,06727500,2011-06-26,16.8,A
USGS,06727500,2011-06-27,16.9,A
USGS,06727500,2011-06-28,15.9,A
USGS,06727500,2011-06-29,15.8,A
USGS,06727500,2011-06-30,16,A
USGS,06727500,2011-07-01,15.6,A
USGS,06727500,2011-07-02,15.5,A
USGS,06727500,2011-07-03,15.4,A
USGS,06727500,2011-07-04,14.3,A
USGS,06727500,2011-07-05,13.6,A
USGS,06727500,2011-07-06,12.9,A
USGS,06727500,2011-07-07,13.8,A
USGS,06727500,2011-07-08,13.6,A
USGS,06727500,2011-07-09,12.2,A
USGS,06727500,2011-07-10,11.5,A
USGS,06727500,2011-07-11,11.4,A
USGS,06727500,2011-07-12,10.9,A
USGS,06727500,2011-07-13,23.8,A
USGS,06727500,2011-07-14,27.5,A
USGS,06727500,2011-07-15,26,A
USGS,06727500,2011-07-16,18.8,A
USGS,06727500,2011-07-17,12.6,A
USGS,06727500,2011-07-18,12.8,A
USGS,06727500,2011-07-19,11,A
USGS,06727500,2011-07-20,10.8,A
USGS,06727500,2011-07-21,13.2,A
USGS,06727500,2011-07-22,11.9,A
USGS,06727500,2011-07-23,8.77,A
USGS,06727500,2011-07-24,7.36,A
USGS,06727500,2011-07-25,6.6,A
USGS,06727500,2011-07-26,7.14,A
USGS,06727500,2011-07-27,5.63,A
USGS,06727500,2011-07-28,5.1,A
USGS,06727500,2011-07-29,6.01,A
USGS,06727500,2011-07-30,5.43,A
USGS,06727500,2011-07-31,4.87,A
USGS,06727500,2011-08-01,4.8,A
USGS,06727500,2011-08-02,6.23,A
USGS,06727500,2011-08-03,5.78,A
USGS,06727500,2011-08-04,4.53,A
USGS,06727500,2011-08-05,4.14,A
USGS,06727500,2011-08-06,3.6,A
USGS,06727500,2011-08-07,3.06,A
USGS,06727500,2011-08-08,3.05,A
USGS,06727500,2011-08-09,2.65,A
USGS,06727500,2011-08-10,2.45,A
USGS,06727500,2011-08-11,2.69,A
USGS,06727500,2011-08-12,2.65,A
USGS,06727500,2011-08-13,2.3,A
USGS,06727500,2011-08-14,2.49,A
USGS,06727500,2011-08-15,2.43,A
USGS,06727500,2011-08-16,1.46,A
USGS,06727500,2011-08-17,1.15,A
USGS,06727500,2011-08-18,1.07,A
USGS,06727500,2011-08-19,1.03,A
USGS,06727500,2011-08-20,1.09,A
USGS,06727500,2011-08-21,1.09,A
USGS,06727500,2011-08-22,1.05,A
USGS,06727500,2011-08-23,0.95,A
USGS,06727500,2011-08-24,0.74,A
USGS,06727500,2011-08-25,0.78,A
USGS,06727500,2011-08-26,0.76,A
USGS,06727500,2011-08-27,0.75,A
USGS,06727500,2011-08-28,0.71,A
USGS,06727500,2011-08-29,0.79,A
USGS,06727500,2011-08-30,0.71,A
USGS,06727500,2011-08-31,0.59,A
USGS,06727500,2011-09-01,0.51,A
USGS,06727500,2011-09-02,0.52,A
USGS,06727500,2011-09-03,0.54,A
USGS,06727500,2011-09-04,0.55,A
USGS,06727500,2011-09-05,0.48,A
USGS,06727500,2011-09-06,0.44,A
USGS,06727500,2011-09-07,2.67,A
USGS,06727500,2011-09-08,1.29,A
USGS,06727500,2011-09-09,0.93,A
USGS,06727500,2011-09-10,0.78,A
USGS,06727500,2011-09-11,0.66,A
USGS,06727500,2011-09-12,0.63,A
USGS,06727500,2011-09-13,0.62,A
USGS,06727500,2011-09-14,0.95,A
USGS,06727500,2011-09-15,2.09,A
USGS,06727500,2011-09-16,1.2,A
USGS,06727500,2011-09-17,0.96,A
USGS,06727500,2011-09-18,0.89,A
USGS,06727500,2011-09-19,0.78,A
USGS,06727500,2011-09-20,0.73,A
USGS,06727500,2011-09-21,0.74,A
USGS,06727500,2011-09-22,0.77,A
USGS,06727500,2011-09-23,0.66,A
USGS,06727500,2011-09-24,0.6,A
USGS,06727500,2011-09-25,0.64,A
USGS,06727500,2011-09-26,0.6,A
USGS,06727500,2011-09-27,0.52,A
USGS,06727500,2011-09-28,0.5,A
USGS,06727500,2011-09-29,0.46,A
USGS,06727500,2011-09-30,0.46,A
USGS,06727500,2012-04-01,5.25,A
USGS,06727500,2012-04-02,6.48,A
USGS,06727500,2012-04-03,7.79,A
USGS,06727500,2012-04-04,7.6,A
USGS,06727500,2012-04-05,7.05,A
USGS,06727500,2012-04-06,5.82,A
USGS,06727500,2012-04-07,5.16,A
USGS,06727500,2012-04-08,5.02,A
USGS,06727500,2012-04-09,5.12,A
USGS,06727500,2012-04-10,5.96,A
USGS,06727500,2012-04-11,6.22,A
USGS,06727500,2012-04-12,8.42,A
USGS,06727500,2012-04-13,8.24,A
USGS,06727500,2012-04-14,8.39,A
USGS,06727500,2012-04-15,8.84,A
USGS,06727500,2012-04-16,8.17,A
USGS,06727500,2012-04-17,7.62,A
USGS,06727500,2012-04-18,7.16,A
USGS,06727500,2012-04-19,7.12,A
USGS,06727500,2012-04-20,6.49,A
USGS,06727500,2012-04-21,5.61,A
USGS,06727500,2012-04-22,5.88,A
