Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,44.257796,-71.31973,Control ,,Glen Boulder,10/1/96,Unburn,80,Mean_Mean,,,,,79.0960452,ug_N_L,,,NO3-N Fig 3,Figure 3 are the monthly concentrations. The plotted concentrations are the mean (+-) 1SD of two to four streams at each site. Figure 4 takes the average between all the old-growth and compares that with the burn. Figure 4 has DOC and N03-N. There are no lat/longs for each watershed. Fig 1 has a map but there are no coordinates on it for us to extract. We could potentially find them on google maps but might be tough And the burns are 80-110 years old so do we even want to group that with our >10 year bucket cause it would be a tad different. Watershed characteristics are included in Table 1. 
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Glen Boulder,11/1/96,Unburn,80,Mean_Mean,,,,,87.00564972,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Glen Boulder,1/1/97,Unburn,80,Mean_Mean,,,,,172.0338983,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Glen Boulder,2/1/97,Unburn,80,Mean_Mean,,,,,193.7853107,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Glen Boulder,3/1/97,Unburn,80,Mean_Mean,,,,,231.3559322,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Glen Boulder,4/1/97,Unburn,80,Mean_Mean,,,,,261.0169492,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Glen Boulder,5/1/97,Unburn,80,Mean_Mean,,,,,154.2372881,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Glen Boulder,6/1/97,Unburn,80,Mean_Mean,,,,,79.0960452,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Glen Boulder,7/1/97,Unburn,80,Mean_Mean,,,,,90.96045198,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Glen Boulder,8/1/97,Unburn,80,Mean_Mean,,,,,41.52542373,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Glen Boulder,9/1/97,Unburn,80,Mean_Mean,,,,,77.11864407,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Btook spruce-fir,10/1/96,Unburn,80,Mean_Mean,,,,,0,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Btook spruce-fir,11/1/96,Unburn,80,Mean_Mean,,,,,13.84180791,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Btook spruce-fir,1/1/97,Unburn,80,Mean_Mean,,,,,61.29943503,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Btook spruce-fir,2/1/97,Unburn,80,Mean_Mean,,,,,77.11864407,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Btook spruce-fir,3/1/97,Unburn,80,Mean_Mean,,,,,81.07344633,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Btook spruce-fir,4/1/97,Unburn,80,Mean_Mean,,,,,92.93785311,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Btook spruce-fir,5/1/97,Unburn,80,Mean_Mean,,,,,61.29943503,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Btook spruce-fir,6/1/97,Unburn,80,Mean_Mean,,,,,13.84180791,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Btook spruce-fir,7/1/97,Unburn,80,Mean_Mean,,,,,9.88700565,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Btook spruce-fir,8/1/97,Unburn,80,Mean_Mean,,,,,5.93220339,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Btook spruce-fir,9/1/97,Unburn,80,Mean_Mean,,,,,3.95480226,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Brook hardwood,2/1/97,Unburn,80,Mean_Mean,,,,,227.4011299,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Brook hardwood,3/1/97,Unburn,80,Mean_Mean,,,,,292.6553672,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Brook hardwood,4/1/97,Unburn,80,Mean_Mean,,,,,322.3163842,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Brook hardwood,5/1/97,Unburn,80,Mean_Mean,,,,,183.8983051,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Brook hardwood,6/1/97,Unburn,80,Mean_Mean,,,,,110.7344633,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Brook hardwood,7/1/97,Unburn,80,Mean_Mean,,,,,61.29943503,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Brook hardwood,8/1/97,Unburn,80,Mean_Mean,,,,,59.3220339,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Gibbs Brook hardwood,9/1/97,Unburn,80,Mean_Mean,,,,,57.34463277,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Lafayette Brook ,10/1/96,Unburn,80,Mean_Mean,,,,,128.5310734,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Lafayette Brook ,11/1/96,Unburn,80,Mean_Mean,,,,,110.7344633,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Lafayette Brook ,1/1/97,Unburn,80,Mean_Mean,,,,,227.4011299,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Lafayette Brook ,2/1/97,Unburn,80,Mean_Mean,,,,,245.1977401,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Lafayette Brook ,3/1/97,Unburn,80,Mean_Mean,,,,,308.4745763,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Lafayette Brook ,4/1/97,Unburn,80,Mean_Mean,,,,,318.3615819,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Lafayette Brook ,5/1/97,Unburn,80,Mean_Mean,,,,,223.4463277,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Lafayette Brook ,6/1/97,Unburn,80,Mean_Mean,,,,,191.8079096,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Lafayette Brook ,7/1/97,Unburn,80,Mean_Mean,,,,,96.89265537,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Lafayette Brook ,8/1/97,Unburn,80,Mean_Mean,,,,,284.7457627,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Lafayette Brook ,9/1/97,Unburn,80,Mean_Mean,,,,,229.3785311,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Nancy Brook,5/1/97,Unburn,80,Mean_Mean,,,,,130.5084746,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Nancy Brook,6/1/97,Unburn,80,Mean_Mean,,,,,65.25423729,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Nancy Brook,7/1/97,Unburn,80,Mean_Mean,,,,,59.3220339,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Nancy Brook,8/1/97,Unburn,80,Mean_Mean,,,,,31.63841808,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Control ,,Nancy Brook,9/1/97,Unburn,80,Mean_Mean,,,,,41.52542373,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_1,,Zealand Valley,10/1/96,Burn,110,Mean_Mean,,,,,47.1910112,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_1,,Zealand Valley,11/1/96,Burn,110,Mean_Mean,,,,,41.2921348,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_1,,Zealand Valley,1/1/97,Burn,110,Mean_Mean,,,,,90.4494382,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_1,,Zealand Valley,2/1/97,Burn,110,Mean_Mean,,,,,94.3820225,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_1,,Zealand Valley,3/1/97,Burn,110,Mean_Mean,,,,,108.146067,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_1,,Zealand Valley,4/1/97,Burn,110,Mean_Mean,,,,,121.910112,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_1,,Zealand Valley,5/1/97,Burn,110,Mean_Mean,,,,,88.4831461,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_1,,Zealand Valley,6/1/97,Burn,110,Mean_Mean,,,,,43.258427,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_1,,Zealand Valley,7/1/97,Burn,110,Mean_Mean,,,,,31.4606742,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_1,,Zealand Valley,8/1/97,Burn,110,Mean_Mean,,,,,35.3932584,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_1,,Zealand Valley,9/1/97,Burn,110,Mean_Mean,,,,,35.3932584,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_2,,George's Gorge,10/1/96,Burn,90,Mean_Mean,,,,,0,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_2,,George's Gorge,11/1/96,Burn,90,Mean_Mean,,,,,9.831460674,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_2,,George's Gorge,1/1/97,Burn,90,Mean_Mean,,,,,41.29213483,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_2,,George's Gorge,2/1/97,Burn,90,Mean_Mean,,,,,45.2247191,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_2,,George's Gorge,3/1/97,Burn,90,Mean_Mean,,,,,51.12359551,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_2,,George's Gorge,4/1/97,Burn,90,Mean_Mean,,,,,55.05617978,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_2,,George's Gorge,5/1/97,Burn,90,Mean_Mean,,,,,39.3258427,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_2,,George's Gorge,6/1/97,Burn,90,Mean_Mean,,,,,9.831460674,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_2,,George's Gorge,7/1/97,Burn,90,Mean_Mean,,,,,7.865168539,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_2,,George's Gorge,8/1/97,Burn,90,Mean_Mean,,,,,5.898876404,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_2,,George's Gorge,9/1/97,Burn,90,Mean_Mean,,,,,1.966292135,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_3,,Rocky Branch,10/1/96,Burn,80,Mean_Mean,,,,,0,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_3,,Rocky Branch,11/1/96,Burn,80,Mean_Mean,,,,,1.96629213,ug_N_L,,,NO3-N Fig 3,
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,,,Site_3,,Rocky Branch,1/1/97,Burn,80,Mean_Mean,,,,,9.83146067,ug_N_L,,,NO3-N Fig 3,
