Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-17,Burn,0,Individual,1.6,mg_L,,,0,mg_L,,,Supplemental,Sampled right after a burn. Data is all provided from the supplemental and manually extracted. I don’t have exact coordinates for each individual watershed
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-17,Burn,0,Individual,1.8,mg_L,,,0.02,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-17,Burn,0,Individual,2,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.3,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.6,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,2.5,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,2.1,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.2,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.3,mg_L,,,0.2,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.8,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.6,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.3,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.7,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,2.1,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.4,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.2,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.4,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.7,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-18,Burn,0,Individual,1.8,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-19,Burn,0,Individual,1.9,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-19,Burn,0,Individual,1.5,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-19,Burn,0,Individual,1.6,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-19,Burn,0,Individual,1.2,mg_L,,,0,mg_L,,,Supplemental,
