Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,40.26237,-105.590804,7.04,km,Control,Dfc,U1,6/15/17,Unburn,5,Individual,5.205882353,mg_L,,,0.005555556,mg_N_L,,,Figure 3,They are investigating two different fires. Hayman from 2002 and High Park from 2012. They have controls and impacts for each one and looking at the temporal component of these effects. I don’t have exact coordinates for each watershed
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,7.04,km,Control,Dfc,U1,7/7/17,Unburn,5,Individual,4.389705882,mg_L,,,0.005555556,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,7.04,km,Control,Dfc,U1,7/15/17,Unburn,5,Individual,4.014705882,mg_L,,,0.001851852,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,7.04,km,Control,Dfc,U1,8/1/17,Unburn,5,Individual,4.147058824,mg_L,,,0,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,7.04,km,Control,Dfc,U1,8/7/17,Unburn,5,Individual,3.683823529,mg_L,,,0.005555556,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,7.04,km,Control,Dfc,U1,8/15/17,Unburn,5,Individual,3.838235294,mg_L,,,0.005555556,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,19.38,km,Control,Dfc,U2,7/7/17,Unburn,5,Individual,5.161764706,mg_L,,,0.007407407,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,19.38,km,Control,Dfc,U2,7/15/17,Unburn,5,Individual,4.764705882,mg_L,,,0.001851852,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,19.38,km,Control,Dfc,U2,8/1/17,Unburn,5,Individual,4.169117647,mg_L,,,0.005555556,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,19.38,km,Control,Dfc,U2,8/7/17,Unburn,5,Individual,4.985294118,mg_L,,,0.016666667,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,19.38,km,Control,Dfc,U2,8/15/17,Unburn,5,Individual,5.007352941,mg_L,,,0.007407407,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,3.25,km,Site_1,Dfc,B1,6/15/17,Burn,5,Individual,3.419117647,mg_L,,,0.144444444,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,3.25,km,Site_1,Dfc,B1,7/7/17,Burn,5,Individual,3.198529412,mg_L,,,0.042592593,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,3.25,km,Site_1,Dfc,B1,7/15/17,Burn,5,Individual,3.044117647,mg_L,,,0.061111111,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,3.25,km,Site_1,Dfc,B1,7/25/17,Burn,5,Individual,2.713235294,mg_L,,,0.025925926,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,3.25,km,Site_1,Dfc,B1,8/1/17,Burn,5,Individual,3.176470588,mg_L,,,0.05,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,3.25,km,Site_1,Dfc,B1,8/7/17,Burn,5,Individual,2.801470588,mg_L,,,0.051851852,mg_N_L,,,Figure 3,
Rhea et al. 2021,10.1029/2020JG006095,Control_Reference_vs_Impact,,,8.6,km,Control,Dfc,U3,6/25/17,Unburn,15,Individual,1.5,mg_L,,,0.02222222,mg_N_L,,,Figure 3,
