"","Effect_size","totdasqkm","minelevraw","maxelevsmo","minelevsmo","elevfixed","slope","Tmax9120Ws","Tmean9120Ws","Tmin9120Ws","Forest","Urban","Grassland","Wetland","AG","OmWs","BFIWs","PermWs","RunoffWs","burn_percentage","mean_dnbr","Time_Since_Fire"
"Effect_size",1,0.386461701704135,0.65832746016279,0.612211555779458,0.658959034771664,-0.089033185116903,-0.467163267567936,-0.511333634227455,-0.53539474721788,-0.557155538432263,0.521975643905548,0.531691663328416,-0.549528729576793,0.169044028572162,0.375780845767099,0.351323916635738,0.885028983026391,0.157087813575458,-0.225349959285169,-0.359070773177437,-0.70504184767274,-0.243874994297774
"totdasqkm",0.386461701704135,1,-0.0342604840295536,-0.133731845864309,-0.0357285063677961,-0.255891589576436,-0.490869455679526,-0.321792431470878,-0.349796538237643,-0.375763038887758,0.0311312324646057,-0.42858952878371,-0.0428561520676074,0.182973694550728,0.000123608779567578,0.103245128340558,0.119428655684627,-0.125290660478621,0.0456161603623581,-0.269755428554257,-0.203341550578136,-0.484260955468076
"minelevraw",0.65832746016279,-0.0342604840295536,1,0.980255809591368,0.999989524440988,0.0869541099132686,-0.290343869646994,-0.85256241247581,-0.850387081591666,-0.846375462759487,0.952828197086422,0.337814204068437,-0.960603258631989,0.632821776626648,-0.12062242620274,-0.146373878569588,0.828893524051477,0.751554357455708,-0.787457114038328,-0.715377395257189,-0.891605679681929,0.166733166770582
"maxelevsmo",0.612211555779458,-0.133731845864309,0.980255809591368,1,0.980214119075928,-0.0169157370293281,-0.113783771029483,-0.791831036224428,-0.7869897154918,-0.780575307912691,0.935068944876463,0.371648882210794,-0.938356295451285,0.588329991138019,-0.152845653229126,-0.174871794451843,0.791650748123148,0.74777080475841,-0.773808051266147,-0.689146050346725,-0.859814296174355,0.215357215221853
"minelevsmo",0.658959034771664,-0.0357285063677961,0.999989524440988,0.980214119075928,1,0.0866285809132506,-0.290068821931499,-0.851479949345645,-0.849280196243357,-0.84524773350622,0.952104877194625,0.339681934166587,-0.960013411449166,0.632452353832839,-0.117403637203276,-0.146852878968061,0.82890211556258,0.75077434384654,-0.786433968083833,-0.714645594470914,-0.890241145431394,0.166815861699166
"elevfixed",-0.089033185116903,-0.255891589576436,0.0869541099132686,-0.0169157370293281,0.0866285809132506,1,-0.587478672991684,0.0539493949895233,0.0474162757794212,0.0410634326000624,0.125505313023804,0.26452670380186,-0.116154145559228,-0.0865526667521864,-0.0918461194324414,0.0909634349100628,0.131173982564851,0.161900076755842,-0.146203713651046,-0.00820809983017807,-0.199070216888964,0.330106427299923
"slope",-0.467163267567936,-0.490869455679526,-0.290343869646994,-0.113783771029483,-0.290068821931499,-0.587478672991684,1,0.405344623112689,0.431849517479492,0.45619391856562,-0.299324578819135,-0.0779790009869294,0.325629212184119,-0.278323307387298,-0.24581175698258,-0.18959498483321,-0.442627624783684,-0.203670841696565,0.253314726326859,0.278809920399198,0.44670016870996,0.144695956071705
"Tmax9120Ws",-0.511333634227455,-0.321792431470878,-0.85256241247581,-0.791831036224428,-0.851479949345645,0.0539493949895233,0.405344623112689,1,0.998787725925287,0.99536596411598,-0.884718302641926,0.148775211873629,0.896735849544918,-0.862468924430206,0.242936444229776,0.276646627738197,-0.607580280432619,-0.78543165347731,0.841951577747637,0.792503577437454,0.790485271812099,0.0629954904395925
"Tmean9120Ws",-0.53539474721788,-0.349796538237643,-0.850387081591666,-0.7869897154918,-0.849280196243357,0.0474162757794212,0.431849517479492,0.998787725925287,1,0.998892723845014,-0.885409153429591,0.140878700492251,0.897978257500692,-0.857030718136937,0.22805627186792,0.267568269874187,-0.618641319259799,-0.779695321175943,0.837232986457775,0.802905677812176,0.803904753760846,0.0698962173638505
"Tmin9120Ws",-0.557155538432263,-0.375763038887758,-0.846375462759487,-0.780575307912691,-0.84524773350622,0.0410634326000624,0.45619391856562,0.99536596411598,0.998892723845014,1,-0.884067789643652,0.133034624865232,0.897134461689642,-0.849907774481994,0.213335077900438,0.258321877534155,-0.627786662369726,-0.772463694177614,0.830840174655468,0.811047691378523,0.814902496611466,0.076323229937494
"Forest",0.521975643905548,0.0311312324646057,0.952828197086422,0.935068944876463,0.952104877194625,0.125505313023804,-0.299324578819135,-0.884718302641926,-0.885409153429591,-0.884067789643652,1,0.144810967822951,-0.998085078176823,0.744105002014778,-0.30245263692926,-0.349649597657571,0.68808970420038,0.875034351733773,-0.898178887108939,-0.864268679917157,-0.906008496304406,0.210922530371452
