variable,plotted,skip_reason,n_rows,n_sites,n_studies,x_distinct,x_min,x_median,x_max,x_scale,spearman_r,spearman_p,plot_file
latitude,TRUE,NA,12549,40,9,33,38.451372,40.036103,61.4,linear,-0.15095172573311727,7.437549941062599e-65,figures/scatter_DOC_vs_latitude.png
longitude,TRUE,NA,12549,40,9,34,-122.326478,-105.439101,-105.22692,linear,0.08940705909787396,1.0729711432607842e-23,figures/scatter_DOC_vs_longitude.png
Area_watershed_km,TRUE,NA,12549,40,9,34,3,47.3,3017,log10,0.25743049785082844,4.203139274453309e-189,figures/scatter_DOC_vs_Area_watershed_km.png
comid,TRUE,NA,12291,38,8,32,11058,2889346,22957733,log10,-0.039376358632699955,1.261372893896138e-5,figures/scatter_DOC_vs_comid.png
fdate,TRUE,NA,12291,38,8,12,927838800,927838800,1246914000,linear,0.022227026194006422,0.013730099410000113,figures/scatter_DOC_vs_fdate.png
resolution,FALSE,fewer than 3 complete positive-DOC rows,0,0,0,0,NA,NA,NA,linear,NA,NA,NA
gnis_id,TRUE,NA,11817,29,8,20,177166,178470,1702048,linear,-0.20244697175431978,1.5584612112474443e-109,figures/scatter_DOC_vs_gnis_id.png
gnis_name,FALSE,fewer than 3 complete positive-DOC rows,0,0,0,0,NA,NA,NA,linear,NA,NA,NA
lengthkm,TRUE,NA,12291,38,8,32,0.086,4.359,11.22,log10,0.04152722696496113,4.116237609376077e-6,figures/scatter_DOC_vs_lengthkm.png
reachcode,TRUE,NA,12291,38,8,31,10190002000361,10190005000098,18020162003184,linear,-0.12078218242180232,3.6038378428095466e-41,figures/scatter_DOC_vs_reachcode.png
flowdir,FALSE,fewer than 3 complete positive-DOC rows,0,0,0,0,NA,NA,NA,linear,NA,NA,NA
wbareacomi,TRUE,NA,12291,38,8,3,0,0,10348518,linear,0.09377713651940582,2.0417083532368214e-25,figures/scatter_DOC_vs_wbareacomi.png
ftype,FALSE,fewer than 3 complete positive-DOC rows,0,0,0,0,NA,NA,NA,linear,NA,NA,NA
fcode,TRUE,NA,12291,38,8,3,33600,46006,55800,linear,0.046647349406887514,2.293329247645368e-7,figures/scatter_DOC_vs_fcode.png
shape_length,TRUE,NA,12291,38,8,32,8.3983634895018e-4,0.0504488972800904,0.120347317105333,log10,0.01755665556528282,0.05161068987618978,figures/scatter_DOC_vs_shape_length.png
streamleve,TRUE,NA,12291,38,8,6,2,6,7,linear,0.15699343583982522,1.161180424040942e-68,figures/scatter_DOC_vs_streamleve.png
streamorde,TRUE,NA,12291,38,8,6,1,2,6,linear,0.16572981838606152,2.0725727939384946e-76,figures/scatter_DOC_vs_streamorde.png
streamcalc,TRUE,NA,12291,38,8,7,0,2,6,linear,0.1290222336258638,8.878864492050997e-47,figures/scatter_DOC_vs_streamcalc.png
fromnode,TRUE,NA,12291,38,8,32,10023405,550008840,800069015,linear,0.44619913438953146,0,figures/scatter_DOC_vs_fromnode.png
tonode,TRUE,NA,12291,38,8,29,10023403,550008838,800016397,linear,0.4391989300378326,0,figures/scatter_DOC_vs_tonode.png
hydroseq,TRUE,NA,12291,38,8,32,10009323,550084362,800086252,linear,0.11594327964472291,4.726540266837094e-38,figures/scatter_DOC_vs_hydroseq.png
levelpathi,TRUE,NA,12291,38,8,26,10004579,550067758,800055159,linear,0.20384444989804024,1.9655924779342867e-115,figures/scatter_DOC_vs_levelpathi.png
pathlength,TRUE,NA,12291,38,8,29,105.897,3855.802,3947.398,linear,0.040373838927228546,7.555508411716214e-6,figures/scatter_DOC_vs_pathlength.png
terminalpa,TRUE,NA,12291,38,8,5,10002293,350002977,800002347,linear,0.34876292571220724,0,figures/scatter_DOC_vs_terminalpa.png
arbolatesu,TRUE,NA,12291,38,8,32,0.456,23.527,1952.421,log10,0.14524614586529253,6.234480884892748e-59,figures/scatter_DOC_vs_arbolatesu.png
divergence,TRUE,NA,12291,38,8,3,0,0,2,linear,0.1346052995703114,8.570025925689195e-51,figures/scatter_DOC_vs_divergence.png
startflag,TRUE,NA,12291,38,8,2,0,0,1,linear,0.09158111502297102,2.6045606489058378e-24,figures/scatter_DOC_vs_startflag.png
terminalfl,FALSE,fewer than 2 distinct x values,12291,38,8,1,0,0,0,linear,NA,NA,NA
dnlevel,TRUE,NA,12291,38,8,6,2,6,7,linear,0.10472062115341486,2.560114153632436e-31,figures/scatter_DOC_vs_dnlevel.png
uplevelpat,TRUE,NA,12291,38,8,25,0,550067758,800027193,linear,0.18446103921122878,1.6245944602515588e-94,figures/scatter_DOC_vs_uplevelpat.png
uphydroseq,TRUE,NA,12291,38,8,31,0,550099088,800031015,linear,0.08734282164145714,2.991413244275938e-22,figures/scatter_DOC_vs_uphydroseq.png
dnlevelpat,TRUE,NA,12291,38,8,24,10004579,550067758,800055159,linear,0.12849972349232563,2.0664602381821013e-46,figures/scatter_DOC_vs_dnlevelpat.png
dnminorhyd,FALSE,fewer than 2 distinct x values,12291,38,8,1,0,0,0,linear,NA,NA,NA
dndraincou,FALSE,fewer than 2 distinct x values,12291,38,8,1,1,1,1,linear,NA,NA,NA
dnhydroseq,TRUE,NA,12291,38,8,29,10009259,550067758,800055159,linear,0.10165963575396078,1.3331482263826803e-29,figures/scatter_DOC_vs_dnhydroseq.png
frommeas,TRUE,NA,12291,38,8,3,0,0,13.97217,linear,0.07498060995797898,8.534427722267714e-17,figures/scatter_DOC_vs_frommeas.png
tomeas,TRUE,NA,12291,38,8,12,1.25598,100,100,linear,-0.1486924906616056,1.0513639548811058e-61,figures/scatter_DOC_vs_tomeas.png
rtndiv,TRUE,NA,12291,38,8,2,0,0,1,linear,0.12844300447263227,2.2644326395327836e-46,figures/scatter_DOC_vs_rtndiv.png
vpuin,FALSE,fewer than 2 distinct x values,12291,38,8,1,0,0,0,linear,NA,NA,NA
vpuout,FALSE,fewer than 2 distinct x values,12291,38,8,1,0,0,0,linear,NA,NA,NA
areasqkm,TRUE,NA,12291,38,8,32,0.0054,8.0316,35.2287,log10,0.04366506958224821,1.280635629439726e-6,figures/scatter_DOC_vs_areasqkm.png
totdasqkm,TRUE,NA,12291,38,8,32,6.129,47.3841,2390.2362,log10,0.11420769413271356,5.7710339958475114e-37,figures/scatter_DOC_vs_totdasqkm.png
divdasqkm,TRUE,NA,12291,38,8,32,0.6372,47.3841,2390.2362,log10,0.094098658434765,1.399275106285827e-25,figures/scatter_DOC_vs_divdasqkm.png
