predictor,raw_fi,analyte,fi
climate,20.691967185089997,no3,0.18093989422528806
totdasqkm,18.471264868444212,no3,0.16152107151570658
maxelevsmo,36.26278109915926,no3,0.3170981143409403
slope,10.433522800305008,no3,0.09123542943005632
burn_percentage,15.055258819560255,no3,0.13164997382696747
time_since_fire,13.443441556055737,no3,0.1175555166610413
climate,0.7308935430258273,doc,0.02169694678035696
totdasqkm,9.33222645189478,doc,0.27703189144447743
maxelevsmo,14.463917675565218,doc,0.42936875696425936
slope,4.033677537383514,doc,0.1197417704573138
burn_percentage,3.923981189764708,doc,0.11648537855319123
time_since_fire,1.2017734280435457,doc,0.035675255800401234
