Study_ID,response_var,Climate,year,Xe1,Xe2,Xe3,Xe4,Xe5,Xc,Xc2,Xc34,Xc345,Biome,Effect_size_pair,Effect_size,Time_Since_Fire
Burd et al 2018,DOC_Interp,Dfc,2016,0.065869719293,0,0,0,0,0.118584902864,-9999,-9999,-9999,Cold,lnR1,-0.5879503427777663,3
Coombs & Melack; 2013,NO3_Interp,BSk,2004,1.224279758665,0.027378528807,0.173148177529,0,0,0.212120756244,-9999,-9999,-9999,Arid,lnR1,1.75295228052377,0
Coombs & Melack; 2013,NO3_Interp,BSk,2004,1.224279758665,0.027378528807,0.173148177529,0,0,0.212120756244,-9999,-9999,-9999,Arid,lnR2,-2.0473966314124756,0
Coombs & Melack; 2013,NO3_Interp,BSk,2004,1.224279758665,0.027378528807,0.173148177529,0,0,0.212120756244,-9999,-9999,-9999,Arid,lnR3,-0.2030079720285851,0
Coombs & Melack; 2013,NO3_Interp,BSk,2005,0.813292143084,0.023150835,0.176264086085,0,0,0.148210097029,-9999,-9999,-9999,Arid,lnR1,1.702459542946486,1
Coombs & Melack; 2013,NO3_Interp,BSk,2005,0.813292143084,0.023150835,0.176264086085,0,0,0.148210097029,-9999,-9999,-9999,Arid,lnR2,-1.8565999926447945,1
Coombs & Melack; 2013,NO3_Interp,BSk,2005,0.813292143084,0.023150835,0.176264086085,0,0,0.148210097029,-9999,-9999,-9999,Arid,lnR3,0.17335251790747283,1
Gerla & Galloway; 1998,NO3_Interp,Dfc,1989,0.017928386584,0,0,0,0,0.226990791768,-9999,-9999,-9999,Cold,lnR1,-2.538524152352347,1
Gerla & Galloway; 1998,NO3_Interp,Dfc,1990,0.12892113085,0,0,0,0,0.165645328007,-9999,-9999,-9999,Cold,lnR1,-0.25064809571808844,2
Gerla & Galloway; 1998,NO3_Interp,Dfc,1991,0.167333318523,0,0,0,0,0.060224723031,-9999,-9999,-9999,Cold,lnR1,1.021904792929397,3
Gerla & Galloway; 1998,NO3_Interp,Dfc,1992,0.199162098575,0,0,0,0,0.030307782043,-9999,-9999,-9999,Cold,lnR1,1.8827145462077581,4
Gerla & Galloway; 1998,NO3_Interp,Dfc,1993,0.173918344407,0,0,0,0,0.024614102845,-9999,-9999,-9999,Cold,lnR1,1.9552663389940408,5
Mast & Clow; 2008,DOC_Interp,Dfc,2004,0.013696950005,0,0,0,0,0.021244383402,-9999,-9999,-9999,Cold,lnR1,-0.43891936926346914,1
Mast & Clow; 2008,DOC_Interp,Dfc,2005,0.010219147905,0,0,0,0,0.011456440427,-9999,-9999,-9999,Cold,lnR1,-0.11428884851853872,2
Mast & Clow; 2008,DOC_Interp,Dfc,2006,0.014302724157,0,0,0,0,0.018802607903,-9999,-9999,-9999,Cold,lnR1,-0.2735455588476404,3
Mast & Clow; 2008,DOC_Interp,Dfc,2007,0.009426303444,0,0,0,0,0.008295799242,-9999,-9999,-9999,Cold,lnR1,0.1277547489564013,4
Mast & Clow; 2008,NO3_Interp,Dfc,2004,8.86615893e-4,0,0,0,0,4.77519645e-4,-9999,-9999,-9999,Cold,lnR1,0.6188065474984229,1
Mast & Clow; 2008,NO3_Interp,Dfc,2005,4.72095699e-4,0,0,0,0,3.33293364e-4,-9999,-9999,-9999,Cold,lnR1,0.34815864202827806,2
Mast & Clow; 2008,NO3_Interp,Dfc,2006,2.57692916e-4,0,0,0,0,2.30332568e-4,-9999,-9999,-9999,Cold,lnR1,0.11224441557845878,3
Mast & Clow; 2008,NO3_Interp,Dfc,2007,3.56763254e-4,0,0,0,0,3.44795501e-4,-9999,-9999,-9999,Cold,lnR1,0.03412091717353989,4
Murphy et al. 2018,DOC_Interp,Cfb,2011,0.093361831219,0.062964824121,0.04682284115,0,0,0.098215649063,-9999,-9999,-9999,Temperate,lnR1,-0.0506829593724579,1
