Site,comid,PctLow Burn SeverityWs_2014,PctModerate Burn SeverityWs_2014,PctHigh Burn SeverityWs_2014,PctLow Burn SeverityWs_2015,PctModerate Burn SeverityWs_2015,PctHigh Burn SeverityWs_2015,PctLow Burn SeverityWs_2016,PctModerate Burn SeverityWs_2016,PctHigh Burn SeverityWs_2016,PctLow Burn SeverityWs_2017,PctModerate Burn SeverityWs_2017,PctHigh Burn SeverityWs_2017
Site_3,8943613,0,0,0,0,0,0,0,0,0,0,0,0
Reference,15032969,0,0,0,6.8100000000000005,12,45.44,0,0,0,0,0,0
Payson,10350360,0,0,0,0,0,0,0,0,0,0,0,0
Dry_Creek,10329181,0,0,0,0,0,0,0,0,0,0,0,0
San_Onofre,17594757,0,0,0,0,0,0,0,0,0,0,0,0
Gaviota,17594763,0,0,0,0,0,0,0,0,0,0,0,0
Arroyo_Hondo,17594741,0,0,0,0,0,0,0,0,0,0,0,0
Rattlesnake,14937281,0,0,0,0,0,0,1.95,1.75,5.17,0,0,0
Crow_Creek,12794143,0,0,0,0,0,0,0,0,0,0,0,0
Jones_Creek,12794005,0,0,0,0,0,0,0,0,0,0,0,0
Red_Bench_Creek,22950879,0,0,0,0,0,0,0,0,0,0,0,0
Wally_Creek,22950913,0,0,0,0,0,0,0,0,0,0,0,0
Red_Meadow_Creek,22949989,0,0,0,0,0,0,0,0,0,0,0,0
Coal_Creek,22950067,0,0,0,0,0,0,0,0,0,0,0,0
Logging_Creek,22949389,0,0,0,0,0,0,0,0,0,6.13,2.9000000000000004,1.35
Akokala_Creek,22949619,0,0,0,0,0,0,0,0,0,0,0,0
Bowman_Creek,22949571,0,0,0,0,0,0,0,0,0,0,0,0
Quartz_Creek,22949475,0,0,0,0,0,0,0,0,0,0,0,0
Trout_Creek,8944501,0,0,0,0,0,0,0,0,0,0,0,0
Cold_Creek,8944471,0,0,0,0,0,0,0,0,0,0,0,0
Middle_Fork,14997923,2.7,2.22,7,0,0,0,0.6900000000000001,0.43,0.39,0,0,0
North_Fork,14997117,0,0,0,0,0,0,0,0,0,0,0,0
Coal,22957705,0,0,0,0,0,0,0,0,0,0,0,0
Pinchot,22957733,0,0,0,0,0,0,0,0,0,0,0,0
Fish_Creek,22958009,0,0,0,0,0,0,0,0,0,0,0,0
Lower_MacDonald_Creek,22957903,0,0,0,0,0,0,0,0,0,3.0500000000000003,2.61,0.76
Upper_MacDonald_Creek,22957933,0,0,0,0,0,0,0,0,0,1.27,0.75,0.16
DS1,2889268,0,0,0,0,0,0,0,0,0,0,0,0
DS2,2889346,0,0,0,0,0,0,0,0,0,0,0,0
DS3,2889356,0,0,0,0,0,0,0,0,0,0,0,0
US1,2889272,0,0,0,0,0,0,0,0,0,0,0,0
US2,2889272,0,0,0,0,0,0,0,0,0,0,0,0
Crane_Creek,11750409,19.82,16.23,0,0,0,0,0,0,0,0,0,0
Wash_Branch,11750421,9.52,8.42,0,0,0,0,1.79,0,0,0,0,0
Control,8943655,0,0,0,0,0,0,0,0,0,0,0,0
Site_1,8943617,0,0,0,0,0,0,0,0,0,0,0,0
Site_2,8943617,0,0,0,0,0,0,0,0,0,0,0,0
Camas_Creek,23075361,0,0,0,0,0,0,0,0,0,0,0,0
Grade_Creek,23074473,0,0,0,0.04,0,0,0,0,0,0,0,0
Rocky_Fire,8009327,0,0,0,3.59,4.16,4.08,0.31,0.12,0.08,0.2,0.14,0.03
Wragg_Fire,15032969,0,0,0,6.8100000000000005,12,45.44,0,0,0,0,0,0
PBR,2899241,0,0,0,0,0,0,0,0,0,0,0,0
PSF,2899449,0,0,0,0,0,0,0,0,0,0,0,0
PNF,2900989,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin_Slough,10349048,0,0,0,0,0,0,0,0,0,0,0,0
Hobble_Creek_Lower,10348934,0,0,0,0,0,0,0,0,0,0,0,0
Hobble_Creek_Upper,10348934,0,0,0,0,0,0,0,0,0,0,0,0
Mill_Race,10376606,0,0,0,0,0,0,0,0,0,0,0,0
Mitsubishi_Race,10329067,0,0,0,0,0,0,0,0,0,0,0,0
Provo_River,10376192,0,0,0,0,0,0,0,0,0,0,0,0
Spanish_Fork_Lower,10349108,0,0,0,0,0,0,0.27,0.39,0.09,0.9500000000000001,0.7000000000000001,0.09
Spanish_Fork_Upper,10349244,0,0,0,0,0,0,0.33,0.48,0.11,1.16,0.86,0.11
