predictor_label,predictor,predictor_group,transformation,definition,primary_candidate,available_in_model_table,n,n_missing,proportion_missing,n_unique,minimum,median,maximum,passes_missingness,passes_variation,include_primary,decision_status,decision_note
Burned watershed area (%),burn_percent_fire_year,fire,none,Percent of burned watershed affected in the fire year,TRUE,TRUE,120,18,0.15,24,1.5243,27.1121,100,TRUE,TRUE,TRUE,provisional_include,Included in the primary predictor set.
High-severity burn (%),burn_sev_high,fire,none,Percent high-severity burn,TRUE,TRUE,120,18,0.15,25,0.19,9.23,64.15,TRUE,TRUE,TRUE,provisional_include,Included in the primary predictor set.
Mean annual runoff,runoffws,hydrology,log1p,Mean annual runoff,TRUE,TRUE,120,1,0.008333333333333333,27,39.1054,248,968.0682,TRUE,TRUE,TRUE,provisional_include,Included in the primary predictor set.
Forest cover (%),forest_cover,landscape,none,Combined forest-cover percentage,TRUE,TRUE,120,1,0.008333333333333333,31,3.5999999999999996,59.86000000000001,94.67,TRUE,TRUE,TRUE,provisional_include,Included in the primary predictor set.
Post-fire year,post_fire_year,recovery,none,Reported time since fire; follow-up year used when unavailable,TRUE,TRUE,120,0,0,7,0,2,15,TRUE,TRUE,TRUE,provisional_include,Included in the primary predictor set.
Soil organic matter,omws,soil,none,Watershed soil organic matter,TRUE,TRUE,120,1,0.008333333333333333,30,0.19,0.7733302811359897,2.5924974146845914,TRUE,TRUE,TRUE,provisional_include,Included in the primary predictor set.
Watershed area (km),Area_watershed_km,topography,log1p,Burned watershed area,TRUE,TRUE,120,0,0,34,1.83,63.1,3017,TRUE,TRUE,TRUE,provisional_include,Included in the primary predictor set.
1981-2010 mean temperature,tmean8110ws,climate,none,1981-2010 mean temperature,FALSE,TRUE,120,1,0.008333333333333333,31,0.55106015658788,5.4318975716999995,16.3194393942,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
1981-2010 precipitation,precip8110ws,climate,none,1981-2010 precipitation normal,FALSE,TRUE,120,1,0.008333333333333333,31,502.32296909,723.394409686,1790.14124474,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
Depth to bedrock,rckdepws,geology,log1p,Depth to bedrock,FALSE,TRUE,120,1,0.008333333333333333,30,48.49447382063246,109.2732020696984,151.201887971435,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
Glacial till (%),glacial_till,geology,none,Combined glacial-till percentage,FALSE,TRUE,120,1,0.008333333333333333,14,0,0,78.74,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
Baseflow index,bfiws,hydrology,none,Baseflow index,FALSE,TRUE,120,1,0.008333333333333333,31,28,68.2947,74.5288,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
Soil permeability,permws,hydrology,log1p,Soil permeability,FALSE,TRUE,120,1,0.008333333333333333,30,2.4213029989029153,9.57308279531159,26.69,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
Agricultural cover (%),ag_cover,landscape,none,Combined agricultural-cover percentage,FALSE,TRUE,120,1,0.008333333333333333,12,0,0,34.730000000000004,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
Grassland cover (%),grassland_cover,landscape,none,Grassland-cover percentage,FALSE,TRUE,120,1,0.008333333333333333,30,0,13.07,65.3,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
Urban cover (%),urban_cover,landscape,none,Combined urban-cover percentage,FALSE,TRUE,120,1,0.008333333333333333,29,0,1.56,14.19,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
Wetland cover (%),wetland_cover,landscape,none,Combined wetland-cover percentage,FALSE,TRUE,120,1,0.008333333333333333,23,0,0.72,3.77,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
Soil clay content,clayws,soil,none,Watershed clay content,FALSE,TRUE,120,1,0.008333333333333333,30,4.306314835023752,12.658438667029143,26.80751668661552,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
Maximum smoothed elevation,maxelevsmo,topography,none,Maximum smoothed elevation,FALSE,TRUE,120,22,0.18333333333333332,25,2708,160639,252026,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
Watershed slope,slope,topography,none,Watershed slope,FALSE,TRUE,120,22,0.18333333333333332,23,1e-5,0.018583864999999998,0.13779638,TRUE,TRUE,FALSE,available_sensitivity,"Available, but not pre-specified as a primary candidate."
